name,origin price,add-on_price,sale price,url,sale
[Pre-Order] Rumble Nation (TH) สงครามซามูไร,"฿1,500.00",N/A,"฿1,350.00",https://siamboardgames.com/product/rumble-nation/,True
[SET] หนังสือเกม เชอร์ล็อกโฮล์ม ครบ 3 เล่ม,"฿1,555.00",N/A,N/A,https://siamboardgames.com/product/set-008/,False
[SET] อิโนริ + Superstore 3000,"฿3,250.00",N/A,N/A,https://siamboardgames.com/product/set-007/,False
[SET] คู่สถานีถัดไป ลอนดอน + โตเกียว,"฿1,500.00",N/A,N/A,https://siamboardgames.com/product/set-006/,False
[SET] เกมเกาะภูตพิทักษ์ + โปรโมการ์ด,"฿3,445.00",N/A,N/A,https://siamboardgames.com/product/set-005/,False
[SET] คู่ปีกปักษา + แผ่นผู้เล่นx2,"฿3,400.00",N/A,N/A,https://siamboardgames.com/product/set-004/,False
[SET] หมาป่า Extreme + หมาป่า One Night,"฿1,700.00",N/A,N/A,https://siamboardgames.com/product/set-002/,False
[SET] ฟาร์แลนด์ + คิวบิค,"฿2,025.00",N/A,N/A,https://siamboardgames.com/product/set-003/,False
[SET] อย่าซ่ากับบอส + อย่าซ่ากับปืน,"฿3,800.00",N/A,N/A,https://siamboardgames.com/product/set-001/,False
Nyaice Code (TH) เหมียว Code,฿890.00,N/A,฿801.00,https://siamboardgames.com/product/nyaice-code/,True
Love Letter - 2025 Edition (TH) จดหมายรัก - ฉบับ 2025,฿550.00,฿590.00,N/A,https://siamboardgames.com/product/love-letter-2025/,False
Exploding Kittens Burglar Edition (TH) เหมียวระเบิด เมี้ยวขโมยเอดิชั่น,฿990.00,"฿1,100.00",N/A,https://siamboardgames.com/product/exploding-kittens-burglar-th/,False
Shadow House Masquerade (TH) ใครฆ่าเคานต์? คฤหาสน์เงา,฿690.00,฿765.00,N/A,https://siamboardgames.com/product/shadow-house/,False
Ultimate Werewolf Extreme (TH) เกมล่าปริศนามนุษย์หมาป่า Extreme,฿850.00,฿960.00,N/A,https://siamboardgames.com/product/werewolf-extreme/,False
Superstore 3000 (TH) ซูเปอร์สโตร์ 3000,"฿1,750.00",N/A,"฿1,560.00",https://siamboardgames.com/product/superstore-3000/,True
Get Bit (TH) ฉลามงับ,฿750.00,N/A,฿675.00,https://siamboardgames.com/product/get-bit/,True
Book - Sherlock Holmes & Moriarty Associates (TH) เชอร์ล็อคโฮล์มส์ & มอริอาร์ตี้ พันธมิตรอันตราย,฿545.00,N/A,N/A,https://siamboardgames.com/product/book-sherlock-holmes-moriarty-associates/,False
Wyrmspan (TH) ปีกมังกร,"฿2,475.00",N/A,"฿2,200.00",https://siamboardgames.com/product/wyrmspan-th/,True
Inori อิโนริ,"฿1,500.00",N/A,"฿1,350.00",https://siamboardgames.com/product/inori/,True
