name,price,url,small_description,images_src,full_description,additional_info,box_contents,sleeve_contents
[Pre-Order] Rumble Nation (TH) สงครามซามูไร,"฿1,500.00",https://siamboardgames.com/product/rumble-nation/,ประเภทบอร์ดเกม : กลยุทธ์ อายุ : 10+ จำนวนผู้เล่น : 2-4 คน เวลา : 20-40 นาที,"['https://siamboardgames.com/wp-content/uploads/2025/04/Cover-Rumble-Nation-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/04/3DBox-Rumble-Nation-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/04/Rumble-01-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/04/Rumble-02-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/04/Rumble-03-600x600.png']","['ก้าวเข้าสู่ยุคเซ็งโงกุ สงครามกลางเมืองที่ดุเดือดที่สุดในประวัติศาสตร์ญี่ปุ่น! ในฐานะผู้นำกองทัพผู้ทะเยอทะยาน คุณจะต้องนำกองทัพของคุณฝ่าฟันอุปสรรคมากมาย ทั้งปราสาทที่แข็งแกร่ง และศัตรูผู้ทรงพลัง เพื่อยึดครองปราสาททั้ง 11 แห่ง และรวมแผ่นดินญี่ปุ่นให้เป็นหนึ่งเดียว', 'การเล่นจะแบ่งออกเป็น 2 ช่วง ในช่วงเตรียมทัพ ผู้เล่นจะผลัดกันเข้าตาเล่นตามเข็มนาฬิกาเพื่อวางกำลังทรหารเตรียมพร้อมสำหรับสงครามที่จะามีการตัดสินผู้ชนะใน ช่วงสงคราม!']","[('น้ำหนัก', '1.8 กก.'), ('ขนาด', '29 × 29 × 10 เซนติเมตร')]","['กระดานแผนที่ 1 แผ่น', 'เบี้ยทหาร 72 ตัว', 'เบี้ยกําลังเสริม 30 ตัว', 'โทเคนปราสาทใหญ่ 11 อัน', 'โทเคนปราสาทเล็ก 11 อัน', 'การ์ดยุทธวิธี 12 ใบ', 'ลูกเต๋า 12 ลูก', 'แผ่นดาบ 4 แผ่น', 'คู่มือสอนเล่น 1', 'เบี้ยไดเมียว 1 ตัว', 'การ์ดไดเมีียว 6 ใบ']","['ซองใส่การ์ด: White Diamond Lily', 'ขนาดซอง: 63.5 x 88 มม.', 'จำนวน: 12 ซอง / 1 แพ็ค', 'ซองใส่การ์ด: Dark Blue Sapphire', 'ขนาดซอง: 80 x 120 มม.', 'จำนวน: 6 ซอง / 1 แพ็ค']"
[SET] หนังสือเกม เชอร์ล็อกโฮล์ม ครบ 3 เล่ม,"฿1,555.00",https://siamboardgames.com/product/set-008/,ประเภทบอร์ดเกม : กลยุทธ์ อายุ : 10+ จำนวนผู้เล่น : 2-4 คน เวลา : 20-40 นาที,"['https://siamboardgames.com/wp-content/uploads/2025/04/Set-008-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2023/09/Bookfair25-Online-Content02-600x400.png']",[],"[('น้ำหนัก', '1 กก.'), ('ขนาด', '29 × 29 × 10 เซนติเมตร')]",[],[]
[SET] อิโนริ + Superstore 3000,"฿3,250.00",https://siamboardgames.com/product/set-007/,ประเภทบอร์ดเกม : กลยุทธ์ อายุ : 10+ จำนวนผู้เล่น : 2-4 คน เวลา : 20-40 นาที,"['https://siamboardgames.com/wp-content/uploads/2025/04/Set-007-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2023/09/Bookfair25-Online-Content02-600x400.png']",[],"[('น้ำหนัก', '2 กก.'), ('ขนาด', '35 × 35 × 15 เซนติเมตร')]",[],[]
[SET] คู่สถานีถัดไป ลอนดอน + โตเกียว,"฿1,500.00",https://siamboardgames.com/product/set-006/,ประเภทบอร์ดเกม : กลยุทธ์ อายุ : 10+ จำนวนผู้เล่น : 2-4 คน เวลา : 20-40 นาที,"['https://siamboardgames.com/wp-content/uploads/2025/04/Set-006-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2023/09/Bookfair25-Online-Content02-600x400.png']",[],"[('น้ำหนัก', '1 กก.'), ('ขนาด', '29 × 29 × 10 เซนติเมตร')]",[],[]
[SET] เกมเกาะภูตพิทักษ์ + โปรโมการ์ด,"฿3,445.00",https://siamboardgames.com/product/set-005/,ประเภทบอร์ดเกม : กลยุทธ์ อายุ : 10+ จำนวนผู้เล่น : 2-4 คน เวลา : 20-40 นาที,"['https://siamboardgames.com/wp-content/uploads/2025/04/Set-005-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2023/09/Bookfair25-Online-Content02-600x400.png']",[],"[('น้ำหนัก', '2 กก.'), ('ขนาด', '35 × 35 × 15 เซนติเมตร')]",[],[]
[SET] คู่ปีกปักษา + แผ่นผู้เล่นx2,"฿3,400.00",https://siamboardgames.com/product/set-004/,ประเภทบอร์ดเกม : กลยุทธ์ อายุ : 10+ จำนวนผู้เล่น : 2-4 คน เวลา : 20-40 นาที,"['https://siamboardgames.com/wp-content/uploads/2025/04/Set-004-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2023/09/Bookfair25-Online-Content02-600x400.png']",[],"[('น้ำหนัก', '2 กก.'), ('ขนาด', '35 × 35 × 15 เซนติเมตร')]",[],[]
[SET] หมาป่า Extreme + หมาป่า One Night,"฿1,700.00",https://siamboardgames.com/product/set-002/,ประเภทบอร์ดเกม : กลยุทธ์ อายุ : 10+ จำนวนผู้เล่น : 2-4 คน เวลา : 20-40 นาที,"['https://siamboardgames.com/wp-content/uploads/2023/09/Set-002-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2023/09/Bookfair25-Online-Content02-600x400.png']",[],"[('น้ำหนัก', '1.2 กก.'), ('ขนาด', '30 × 30 × 15 เซนติเมตร')]",[],[]
[SET] ฟาร์แลนด์ + คิวบิค,"฿2,025.00",https://siamboardgames.com/product/set-003/,ประเภทบอร์ดเกม : กลยุทธ์ อายุ : 10+ จำนวนผู้เล่น : 2-4 คน เวลา : 20-40 นาที,"['https://siamboardgames.com/wp-content/uploads/2025/04/Set-003-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2023/09/Bookfair25-Online-Content02-600x400.png']",[],"[('น้ำหนัก', '1.8 กก.'), ('ขนาด', '30 × 30 × 15 เซนติเมตร')]",[],[]
[SET] อย่าซ่ากับบอส + อย่าซ่ากับปืน,"฿3,800.00",https://siamboardgames.com/product/set-001/,ประเภทบอร์ดเกม : กลยุทธ์ อายุ : 10+ จำนวนผู้เล่น : 2-4 คน เวลา : 20-40 นาที,"['https://siamboardgames.com/wp-content/uploads/2025/04/Set-001-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2023/09/Bookfair25-Online-Content02-600x400.png']",[],"[('น้ำหนัก', '2 กก.'), ('ขนาด', '35 × 35 × 15 เซนติเมตร')]",[],[]
Nyaice Code (TH) เหมียว Code,฿890.00,https://siamboardgames.com/product/nyaice-code/,ประเภทบอร์ดเกม : ครอบครัว อายุ : 6+ จำนวนผู้เล่น : 2-4 คน เวลา : 10-20 นาที,"['https://siamboardgames.com/wp-content/uploads/2025/03/Available-nyaicecode-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/03/Available-nyaicecode-01-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/03/Available-nyaicecode-02-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/03/Nyaice-code-01-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/03/Nyaice-code-02-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/03/Nyaice-code-03-600x600.png', 'https://siamboardgames.com/wp-content/uploads/2025/03/Nyaice-code-04-600x600.png']","['เกมเหมียวCode! ผู้เล่นจะต้องนำแมวของตัวเองเดินทางหลบหลีกสิ่งกีดขวาง และไปจับปลาทองคำกลับบ้านมาเป็นตัวแรกให้ได้ เพื่อเป็นผู้ชนะในเกมนี้', 'ในแต่ละตาเล่นผู้เล่นจะต้องตั้งโปรแกรมแมว โดยการทอยลูกเต๋า 5 ลูก และจัดเรียงหน้าเต๋าเพื่อเป็นการเรียงลำดับและทิศทางการเดินของแมว และเมื่อการเดินเสร็จสิ้นจึงจะเข้าสู่ตาผู้เล่นคนถัดไป ผู้เล่นจะผลัดกันเล่นและแย่งชิงปลาทองกันไปมา จนกระทั่งมีผู้ที่สามารถนำปลาทองกลับถึงบ้านได้เป็นคนแรก ผู้นั้นจะเป็นผู้ชนะไปในเกมนี้']","[('น้ำหนัก', '0.5 กก.'), ('ขนาด', '25 × 20 × 10 เซนติเมตร')]","['กระดาน 9 แผ่น', 'ลูกเต๋า 5 ลูก', 'แมว 4 ชิ้น', 'บ้าน 4 ชิ้น', 'ปลาทอง 1 ชิ้น', 'ห่วงยาง 12 ชิ้น']",[]
